ID	ENGLISH	SPANISH	PORTUGUESE	NOTES	SIMPLIFIED	SEMANTIC FIELD	SENSORY CATEGORY
2789	breaking				breaking	Basic actions and technology	AUDITORY
2790	swimming or moving silently				swimming, moving silently	Motion	VISUAL
2791	sound of a bell				bell	Basic actions and technology	AUDITORY
2792	laying down				laying down	Spatial relations	VISUAL
2793	dripping drops				dripping drops	The physical world	AUDITORY
2794	rowing				rowing	Basic actions and technology	AUDITORY
2795	quickly				quickly	Motion	?
2796	hanging				hanging	Spatial relations	VISUAL
2797	something heavy hitting the ground				something heavy hitting the ground	Basic actions and technology	AUDITORY
2798	toppled over			Physical characteristics	toppled over	Spatial relations	VISUAL
2799	tied			Physical characteristics	tied	Basic actions and technology	VISUAL
2800	long (clothing)			Physical characteristics	long clothing	Clothing and grooming	VISUAL
2801	long (hair)			Physical characteristics	long hair	The body	VISUAL
2802	entangled			Physical characteristics	entangled	Spatial relations	VISUAL
2803	spread, opened‐up			Physical characteristics	spread, opened‐up	Spatial relations	VISUAL
2804	loose			Physical characteristics	loose	Basic actions and technology	VISUAL
2805	bended			Physical characteristics	bended	Spatial relations	VISUAL
2806	straight			Physical characteristics	straight	Spatial relations	VISUAL
2807	slowly descending			Physical characteristics	slowly descending	Motion	VISUAL
2808	stripped, skinned			Physical characteristics	stripped, skinned	OTHER	VISUAL
2809	turned over			Physical characteristics	turned over	Spatial relations	VISUAL
2810	knocking				knocking	Basic actions and technology	AUDITORY
2811	dripping				dripping	The physical world	AUDITORY
2812	abrupt movement				abrupt movement	Motion	?
2813	entering with e.g. arrow				entering with arrow	Motion	VISUAL, AUDITORY
2814	roaring, thundering sound				roaring, thundering sound	The physical world	AUDITORY
2815	ticking				ticking	Basic actions and technology	AUDITORY
2816	blowing				blowing	Basic actions and technology	AUDITORY
2817	galloping				galloping	Animals	AUDITORY
2818	banging				banging	Basic actions and technology	AUDITORY
2819	tripping over something				tripping	Basic actions and technology	AUDITORY
2820	large distance				large distance	Motion	VISUAL
2821	overlooking				overlooking	Sense perception	?
2822	pouring				pouring	Motion	AUDITORY
2823	fast light movement (deer)				deer's fast and light movement	Animals	VISUAL
2824	chewing				chewing	Food and drink, The body	AUDITORY
2825	glance off				glance off	Motion	AUDITORY
2826	shooting arrow				shooting arrow	Warfare and hunting	AUDITORY
2827	arrow hitting st.				arrow hitting	Warfare and hunting	AUDITORY
2828	dull thud				dull thud	Basic actions and technology	AUDITORY
2829	hitting				hitting	Basic actions and technology	AUDITORY
2830	reaching highpoint				reaching highpoint	Motion	VISUAL
2831	hammering				hammering	Basic actions and technology	AUDITORY
2832	strong flowing of water				strong flowing of water	The physical world	AUDITORY
2833	narrow escape				narrow escape	Motion	VISUAL
2834	sticking together				sticking together	Spatial relations	VISUAL
2835	put something in mouth, bite				put something in mouth, bite	Food and drink, The body	VISUAL, AUDITORY
2836	metal banging			Onomatopoeic	metal banging	Basic actions and technology	AUDITORY
2837	sneeze			Onomatopoeic	sneeze	The body	AUDITORY
2838	bark			Onomatopoeic	bark	Animals	AUDITORY
2839	monkey cry			Onomatopoeic	monkey cry	Animals	AUDITORY
2840	chant of the kuhku bird			Onomatopoeic	bird species	Animals	AUDITORY
2841	drink water			Onomatopoeic	drink water	Food and drink	AUDITORY
2842	play flute			Onomatopoeic	play flute	Basic actions and technology	AUDITORY
2843	to nurse			Onomatopoeic	to nurse	The body	AUDITORY
2844	to throb			Onomatopoeic	to throb	The body	AUDITORY
2845	to suck			Onomatopoeic	to suck	Basic actions and technology	AUDITORY
2846	pulsate; shake			Onomatopoeic	pulsate, shake	Motion	AUDITORY
2847	drop in water			Onomatopoeic	drop in water	Motion	AUDITORY
2848	pull			Less onomatopoeic	pull	Basic actions and technology	VISUAL, AUDITORY
2849	turn head			Less onomatopoeic	turn head	The body, Motion	VISUAL
2850	stand up			Less onomatopoeic	stand up	Motion	VISUAL
2851	walk			Less onomatopoeic	walk	Motion	AUDITORY
2852	noise of something moving in the bushes			Less onomatopoeic	moving in the bushes	Agriculture and vegetation, Motion	AUDITORY
2853	jump			Less onomatopoeic	jump	Basic actions and technology	VISUAL, AUDITORY
2854	cut			Less onomatopoeic	cut	Basic actions and technology	AUDITORY
2855	stomach-ache			Less onomatopoeic	stomachache	The body	INTERNAL STATE
2856	choke			Less onomatopoeic	choke	The body	INTERNAL STATE
2857	spit			Less onomatopoeic	spit	The body	AUDITORY
2858	snap			Less onomatopoeic	snap	Basic actions and technology	AUDITORY
2859	paddle			Less onomatopoeic	paddle	Basic actions and technology	AUDITORY
2860	jaguar's roar			Less onomatopoeic	jaguar's roar	Animals	AUDITORY
2861	heart beat			Less onomatopoeic	heart beat	The body	AUDITORY
2862	grit teeth			Less onomatopoeic	grit teeth	The body	AUDITORY
2863	think			Non-auditory events	think	Cognition	INTERNAL STATE
2864	stop working			Non-auditory events	stop working	OTHER	?
2865	disappear			Non-auditory events	disappear	Sense perception	VISUAL
2866	pierce			Non-auditory events	pierce	Basic actions and technology	VISUAL, AUDITORY
2867	kill			Non-auditory events	kill	Warfare and hunting	VISUAL
2868	to end			Non-auditory events	to end	OTHER	?
2869	sit down			Non-auditory events	sit down	Motion	VISUAL
2870	to decide			Non-auditory events	to decide	Cognition	INTERNAL STATE
2871	to dawn			Non-auditory events	dawn	The physical world	VISUAL
2872	to scream			Non-auditory events	to scream	Emotion and values	AUDITORY
2873	be inert			Non-auditory events	be inert	Motion	VISUAL
2874	to move			Non-auditory events	to move	Motion	VISUAL
2875	to tie			Non-auditory events	to tie	Basic actions and technology	VISUAL
2876	to pierce			Non-auditory events	to pierce	Basic actions and technology	VISUAL, AUDITORY
2877	sound beat				sound beat	Sense perception	AUDITORY
2878	sound of bats				sound of bats	Animals	AUDITORY
2879	sound of banana tree				sound of banana tree	Agriculture and vegetation	?
2880	sound of pineapple tree				sound of pineapple tree	Agriculture and vegetation	?
2881	sound of a crowed of people				crowd of people	Quantity, Speech and language	AUDITORY
2882	sound of ball being kicked				kicking a ball	Basic actions and technology	AUDITORY
2883	sound of hawk				hawk	Animals	AUDITORY
2884	sound of hitting somebody with a stick				hitting somebody with a stick	Basic actions and technology	AUDITORY
2885	river rising	crecer_río			river rising	The physical world	VISUAL
2886	to moan	gemir			to moan	Emotion and values	AUDITORY
2887	to cry	llorar			to cry	Emotion and values	AUDITORY, VISUAL
2888	to rejoice	alegrarse			to rejoice	Emotion and values	INTERNAL STATE
2889	to wag tail	mover_cola			to wag tail	Animals, Motion	VISUAL
2890	to get stuck	atascarse			to get stuck	Spatial relations	VISUAL
2891	birds singing clucking	canto_aves_cacarear			birds singing clucking	Animals	AUDITORY
2892	to ferment	fermentar			to ferment	Food and drink	VISUAL
2893	to run	correr			to run	Basic actions and technology, Motion	VISUAL
2894	to burst	reventar			to burst	Basic actions and technology	AUDITORY
2895	to tremble	temblar			to tremble	The body	VISUAL
2896	to taste food	probar_alimento			to taste food	Food and drink, Basic actions and technology	GUSTATORY, VISUAL
2897	to clap	palmear			to clap	Basic actions and technology	VISUAL, AUDITORY
2898	to fan	abanicar			to fan	Basic actions and technology	VISUAL, AUDITORY
2899	to make a hole	agujerear			to make a hole	Basic actions and technology	VISUAL, AUDITORY
2900	to prune	podar			to prune	Agriculture and vegetation, Basic actions and technology	AUDITORY, VISUAL
2901	to bubble	burbujear			to bubble	The physical world	AUDITORY, VISUAL
2902	to shake a tree	sacudir_árbol			to shake a tree	Agriculture and vegetation	AUDITORY, VISUAL
2903	to squirt liquids	salpicar_a_chorros_líquidos			to squirt liquids	The physical world	VISUAL
2904	to hang	colgar			to hang	Spatial relations	VISUAL
2905	water flowing	correr_agua			water flowing	The physical world	AUDITORY, VISUAL
2906	to cry a lot	llorar_mucho			to cry a lot	Emotion and values	AUDITORY, VISUAL
2907	frizzy	encrespado			frizzy	The body	VISUAL
2908	to touch with the foot	tocar_con_pie			to touch with the foot	The body	TACTILE, VISUAL
2909	to play the drum	tocar_tambor			to play the drum	Basic actions and technology	AUDITORY, VISUAL
2910	to cut into pieces	cortar_pedazos			to cut into pieces	Basic actions and technology	AUDITORY, VISUAL
2911	itchy neck	picar_cuello			itchy neck	The body	INTERNAL STATE
2912	strong wind blowing	soplar_viento_fuerte			strong wind blowing	The physical world	AUDITORY, TACTILE
2913	to sting	picar			to sting	Animals, Sense perception	TACTILE
2914	to stink	oler_mal			to stink	Sense perception	OLFACTORY
2915	to move in water	mover_en_agua			to move in water	Motion	VISUAL
2916	to cut with an axe/machete	cortar_con_hacha/machete			to cut with an axe/machete	Basic actions and technology	VISUAL, AUDITORY
2917	to grunt	gruñir			to grunt	Speech and language	AUDITORY
2918	to rain	llover			to rain	The physical world	AUDITORY, VISUAL
2919	to spin	girar			to spin	Motion	VISUAL
2920	to erase	borrar			to erase	OTHER	VISUAL
2921	to shake clothes	sacudir_ropa			to shake clothes	Clothing and grooming	VISUAL, AUDITORY
2922	freckled	pecoso			freckled	The body	VISUAL
2923	to play the tambourine	tocar_pandereta			to play the tambourine	Basic actions and technology	AUDITORY, VISUAL
2924	quickly	rápidamente			quickly	Motion	VISUAL
2925	to move slowly	mover_despacio			to move slowly	Motion	VISUAL
2926	to writhe	retorcerse			to writhe	Motion	VISUAL
2927	to hit with a stick	golpear_palo			to hit with a stick	Basic actions and technology	VISUAL, AUDITORY
2928	to turn around	dar_vuelta			to turn around	Motion, Spatial relations	VISUAL
2929	to flash (lightning)	relampaguear			to flash (lightning)	The physical world	VISUAL
2930	to roll up	enrollar			to roll up	Motion	VISUAL
2931	to squeeze	estrujar			to squeeze	Basic actions and technology	VISUAL, TACTILE
2932	to burp	eructar			to burp	The body	AUDITORY
2933	to sneeze	estornudar			to sneeze	The body	AUDITORY
2934	to babble	balbucear			to babble	Speech and language	AUDITORY
2935	to snore	roncar			to snore	The body	AUDITORY
2936	to murmur	murmurar			to murmur	Speech and language	AUDITORY
2937	to shout	gritar			to shout	Speech and language	AUDITORY
2938	to pour liquid	servir_líquido			to pour liquid	Basic actions and technology	VISUAL, AUDITORY
2939	to shiver	tiritar			to shiver	The body	INTERNAL STATE, VISUAL
2940	to weep softly	llorar_suave			to weep softly	Emotion and values	AUDITORY
2941	to grind teeth	rechinar_dientes			to grind teeth	The body	VISUAL, AUDITORY
2942	to rub a sting/bite	frotar_picadura			to rub a sting/bite	The body	TACTILE
2943	to zigzag	zigzaguear			to zigzag	Motion	VISUAL
2944	to expectorate	espectorar			to expectorate	The body	AUDITORY
2945	to talk in one's sleep	hablar_en_sueños			to talk in one's sleep	Speech and language	AUDITORY
2946	rolling waves	mover_olas			rolling waves	The physical world, Motion	AUDITORY, VISUAL
2947	generic animal vocalization	vocalización_animal_generico			generic animal vocalization	Animals	AUDITORY
2948	to scold	reñir			to scold	Speech and language, Emotion and values	AUDITORY
2949	to reprimand	reprender			to reprimand	Speech and language, Emotion and values	AUDITORY
2950	to roar	rugir			to roar	Animals	AUDITORY
2951	to swallow noisily	tragar_ruidosamente			to swallow noisily	Food and drink, The body	AUDITORY
2952	to swallow liquid	tragar_líquido			to swallow liquid	Food and drink, The body	AUDITORY
2953	generic noise	ruido_genérico			generic noise	Sense perception	AUDITORY
2954	to sing	cantar			to sing	Speech and language	AUDITORY
2955	to still be hungry	seguir_con_hambre			to still be hungry	The body	INTERNAL STATE
2956	stomach rumbling	temblar_estómago			stomach rumbling	The body	INTERNAL STATE, AUDITORY
2957	to drag oneself	arrastrarse			to drag oneself	Motion, Basic actions and technology	VISUAL
2958	to throb noisily	palpitar_ruidosamente			to throb noisily	Motion	AUDITORY
2959	to drizzle	chispear			to drizzle	The physical world	VISUAL
2960	to pant	jadear			to pant	The body	AUDITORY
2961	to poke	hincar			to poke	Basic actions and technology	TACTILE
2962	to lie	mentir			to lie	Speech and language, Emotion and values	?
2963	to hit the ground	golpear_suelo			to hit the ground	Basic actions and technology	VISUAL, AUDITORY
2964	to move a limb	mover_extremidad			to move a limb	Motion, The body	VISUAL
2965	to break by pulling	romper_tirando			to break by pulling	Basic actions and technology	VISUAL, AUDITORY
2966	to rub skin	frotar_piel			to rub skin	The body	AUDITORY, TACTILE, VISUAL
2967	to drip	gotear			to drip	The physical world	VISUAL, AUDITORY
2968	to trip	tropezar			to trip	Motion	VISUAL
2969	to pour	verter			to pour	The physical world	AUDITORY, VISUAL
2970	thunder	trueno			thunder	The physical world	AUDITORY
